datetime,room,occupied,hour,weekday,is_weekend,occupied_previous,occupied_1hr_ago,occupied_yesterday,occupied_last_week
2026-05-25 10:30:00,1416,0,10,0,0,0.0,0.0,0.0,0.0
2026-05-25 10:45:00,1416,0,10,0,0,0.0,0.0,0.0,0.0
2026-05-25 11:00:00,1416,0,11,0,0,0.0,0.0,0.0,0.0
2026-05-25 11:15:00,1416,0,11,0,0,0.0,0.0,0.0,0.0
2026-05-25 11:30:00,1416,0,11,0,0,0.0,0.0,0.0,0.0
2026-05-25 11:45:00,1416,0,11,0,0,0.0,0.0,0.0,0.0
2026-05-25 12:00:00,1416,0,12,0,0,0.0,0.0,0.0,0.0
2026-05-25 12:15:00,1416,0,12,0,0,0.0,0.0,0.0,0.0
2026-05-25 12:30:00,1416,0,12,0,0,0.0,0.0,0.0,0.0
2026-05-25 12:45:00,1416,0,12,0,0,0.0,0.0,0.0,0.0
2026-05-25 13:00:00,1416,0,13,0,0,0.0,0.0,0.0,0.0
2026-05-25 13:15:00,1416,0,13,0,0,0.0,0.0,0.0,0.0
2026-05-25 13:30:00,1416,0,13,0,0,0.0,0.0,0.0,0.0
2026-05-25 13:45:00,1416,0,13,0,0,0.0,0.0,0.0,0.0
2026-05-25 14:00:00,1416,0,14,0,0,0.0,0.0,0.0,0.0
2026-05-25 14:15:00,1416,0,14,0,0,0.0,0.0,0.0,0.0
2026-05-25 14:30:00,1416,0,14,0,0,0.0,0.0,0.0,0.0
2026-05-25 14:45:00,1416,0,14,0,0,0.0,0.0,0.0,0.0
2026-05-25 15:00:00,1416,0,15,0,0,0.0,0.0,0.0,0.0
2026-05-25 15:15:00,1416,0,15,0,0,0.0,0.0,0.0,0.0
2026-05-25 15:30:00,1416,0,15,0,0,0.0,0.0,0.0,0.0
2026-05-25 15:45:00,1416,0,15,0,0,0.0,0.0,0.0,0.0
2026-05-25 16:00:00,1416,0,16,0,0,0.0,0.0,0.0,0.0
2026-05-25 16:15:00,1416,0,16,0,0,0.0,0.0,0.0,0.0
2026-05-25 16:30:00,1416,0,16,0,0,0.0,0.0,0.0,0.0
2026-05-25 16:45:00,1416,0,16,0,0,0.0,0.0,0.0,0.0
2026-05-25 17:00:00,1416,0,17,0,0,0.0,0.0,0.0,0.0
